ID_Producto,Nombre_Producto,Categoria,Marca,Precio_Costo,Precio_Venta
1,Guantes de Esquí,Accesorios,Marca1,50.00,70.00
2,Tabla de Snowboard,Equipamiento,Marca2,200.00,300.00
3,Chaqueta de Invierno,Ropa,Marca3,100.00,150.00
4,Botas de Ski,Calzado,Marca4,80.00,120.00
5,Casco de Snowboard,Protección,Marca5,60.00,90.00
6,Gafas de Nieve,Protección,Marca6,30.00,50.00
7,Pantalones de Esquí,Ropa,Marca7,70.00,100.00
8,Chaqueta de Esquí,Ropa,Marca8,90.00,130.00
9,Sistema de Hidratación,Accesorios,Marca9,20.00,40.00
10,Botas de Snowboard,Calzado,Marca10,110.00,160.00
11,Guantes de Invierno,Accesorios,Marca11,40.00,60.00
12,Cremas de Protección Solar,Protección,Marca12,15.00,25.00
13,Soportes para Tabla de Snowboard,Accesorios,Marca13,35.00,55.00
14,Calcetines de Esquí,Accesorios,Marca14,10.00,20.00
15,Espaldera de Protección,Protección,Marca15,45.00,65.00
16,Chaqueta Impermeable,Ropa,Marca16,75.00,110.00
17,Bolsa de Equipamiento,Accesorios,Marca17,25.00,35.00
18,Cámara de Acción,Electrónica,Marca18,150.00,250.00
19,Lentes de Sol,Protección,Marca19,20.00,30.00
20,Patines de Nieve,Equipamiento,Marca20,90.00,130.00
